id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente
P21-81,11-07-2021,"San Lázaro, Centro Habana, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Transitan por las calles: San Lázaro y Escobar, San Lázaro y Lealtad, Genios y San Lázaro, San Lázaro y Crespo.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Libertad para los presos políticos"", ""Díaz-Canel, singao"", ""Viva Maikel Osorbo"", ""El pueblo unido, jamás será vencido""",Se observa la presencia de policías y militares. Reprimen a un manifestante golpeándolo y arrestándolo por la fuerza.,https://www.youtube.com/watch?v=QFBs80MtAY0 https://www.youtube.com/watch?v=sNTMPVAwVKo https://www.youtube.com/watch?v=eAEJLzhjxfI
P21-82,11-07-2021,"San Nicolás de Bari, Mayabeque",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Estación de la Policía, Parque Nuevo, Banco Popular de Ahorro, Calle 55 esq. 50, Parque Viejo.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Queremos un cambio"", ""Díaz-Canel, singao"", ""El pueblo es el que llama"", cantan el Himno Nacional.",Policía detiene y agrede a manifestantes.,https://www.youtube.com/watch?v=2r56VeUZ66s https://www.youtube.com/watch?v=XYzTv2hqTwE
P21-83,11-07-2021,"Neptuno y Lealtad, Centro Habana, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad.,Estado cubano,"""Libertad"", ""Patria y Vida""",NULL,https://www.youtube.com/watch?v=KPdiyk01uUg
P21-84,11-07-2021,"Calzada de Güines, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Transitan por la Calzada de Güines y Calzada de San Miguel del Padrón, Calzada de Güines y Matos (Diez de Octubre), Calzada de Diez de Octubre y Perkins.",Estado cubano,"""Libertad"", ""Patria y Vida""",NULL,https://www.youtube.com/watch?v=zn23B4shtz8 https://www.youtube.com/watch?v=Fwv_hxuRQPQ
P21-85,11-07-2021,"Puente de Vía Blanca, Guanabacoa, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad.,Estado cubano,NULL,NULL,NULL
P21-86,11-07-2021,"Reparto Versalles, Matanzas",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad.,Estado cubano,"""Libertad""",NULL,https://www.youtube.com/watch?v=e18PN4mF3XM
P21-87,11-07-2021,"Águila y Concordia, Centro Habana, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad.,Estado cubano,"""Libertad"", ""Patria y Vida""","Presencia policial en el lugar, pero se ven obligados a retirarse por los manifestantes.",https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/
P21-88,11-07-2021,"Caibarién, Villa Clara",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles para exigir libertad. Pasan por el Paseo de Martí e/ 10 y 12, Paseo de Martí y 12, Calle 12 e/ Paseo de Martí y Avenida 3.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Queremos un cambio"", ""Díaz-Canel, singao"", ""El pueblo es el que llama"", cantan el Himno Nacional.",Tropas especiales golpean a Isel Fumero y es detenido por la policía.,https://www.youtube.com/watch?v=QueZfhzMM58 https://www.youtube.com/watch?v=3nTwhlQEucg
P21-89,11-07-2021,"Sector de la PNR, Carlos Rojas, Jovellanos, Matanzas",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles para exigir libertad.,Estado cubano,"""Libertad"", ""Patria y Vida"", ""Queremos un cambio"", ""Díaz-Canel, singao"", ""El pueblo es el que llama"", cantan el Himno Nacional.",NULL,NULL
P21-90,12-07-2021,"La Güinera, Arroyo Naranjo, La Habana",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Cientos de personas intentaron llegar a la estación de policía de La Güinera, justo en la entrada del barrio, para denunciar las extremas condiciones de pobreza y abandono en las que se encuentra su barrio, siendo considerado como uno de los más pobres de La Habana. A esto se sumó la denuncia del gobierno de Díaz-Canel y la demanda de libertad para todo el pueblo de Cuba. La manifestación se produjo por varias calles como: Calle F, Calzada de La Güinera y Calle 1, Calle A, B, C, F y Central.",Autoridades locales (Estación de Policía),"""Díaz-Canel, abajo""","Militantes del Partido Comunista de Cuba (PCC, único) impidieron que los manifestantes llegaran a la estación de policía, acompañados del mayor operativo antimotines desplegado en esos dos días por el gobierno. Volaron piedras, botellas y palos. La calle quedó tapizada de vidrios y rocas. La Seguridad del Estado y las tropas especiales arremetieron contra las puertas de las casas para sacar de forma violenta a los manifestantes, siendo arrastrados o cargados entre varios oficiales, muchos de ellos vestidos de civiles. También se expresaron de forma agresiva hacia todas las personas que se encontraban en las calles documentando lo que estaba pasando, mientras decían: ""Métanse pa' dentro que la calle es de la policía"". Después de esta situación, el gobierno reparó los baches, rehabilitó consultorios, pintó bodegas y prometió casas para varias familias, como parte del programa de mejoramiento implementado en 60 barrios de La Habana.",https://www.france24.com/es/minuto-a-minuto/20220708-la-g%C3%BCinera-el-barrio-pobre-de-la-habana-epicentro-de-las-protestas-de-julio-de-2021 https://www.google.com/maps/d/u/0/viewer?mid=1AQAArlWutvq3eqA2nK_WObSujttknlxZ&hl=en_US&ll=23.04520000000002%2C-82.357&z=8
