id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente,resultado
,01-12-2018,"Banes, Holguín",Huelga,Huelga,Huelga,TPCP (cocheros),"DERECHOS ECONÓMICOS CONTRA IMPUESTOS. La protesta silenciosa fue en rechazo a la decisión del régimen de subirle los impuestos, retirarle la licencia de carga de mercancía, e imponerles que redujeran el costo de los pasajes, por lo que los cuentapropistas entregaron sus licencias el pasado viernes, en la Oficina de Administración Tributaria Municipal (ONAT).","Autoridades locales (Oficina de Administración Tributaria municipal, ONAT)",NULL,"Autoridades en Banes cedieron a las demandas de decenas de cocheros en el municipio. La Seguridad del Estado entonces decidió citar a unos 43 conductores, donde les informaron que sus demandas serían atendidas. Les dijeron que a partir del primero de enero podrían cobrar sus precios normales y directamente a los pasajeros, que eso también se lo habían quitado. Fueron atendidos por el capitán Roilán Rojas.",https://www.cubaenmiami.com/autoridades-en-banes-holguin-responden-a-la-protesta-silenciosa-de-los-cocheros/ https://cubanosporelmundo.com/2018/12/12/cocheros-holguin-protesta-silenciosa/  https://observatoriocubano.com/2018/12/13/decenas-de-cocheros-en-banes-entregan-sus-licencias-ante-nuevas-restricciones/,43 cocheros ganaron la demanda contra las autoridades y les tuvieron que reintegrar la segunda licencia
,10-12-2018,La Habana,Manifestación/Concentración/Bloqueo,Manifestación,"Concentración, Bloqueo",Ciudadanos/pueblo,"Servicios (vivienda). Los residentes del solar conocido por Míster Joe llevaron a cabo una protesta al cerrar la vía pública con muebles, donde exigían el cumplimiento de promesas gubernamentales sobre nuevas viviendas para los vecinos.",Autoridades locales,NULL,"Cuarenta minutos después de iniciada la protesta comenzó a notarse la presencia policial, limitada a desviar el tráfico de vehículos hacia las calles laterales, hasta la llegada de funcionarios del Gobierno local. Los dirigentes, acompañados por varios policías, entraron al solar para verificar los daños totales de las pertenencias, prometiendo, una vez más, la solución del problema en un término de 24 horas.",https://www.cubanet.org/destacados/cuba-habana-protesta-vivienda/,NULL
,12-2018,La Habana,Huelga,Huelga,Huelga,TPCP (boteros),DERECHOS ECONÓMICOS CONTRA IMPUESTOS,Autoridades locales,"Nuevas medidas para el “reordenamiento del transporte en la capital”. Las nuevas medidas incluían la firma de un contrato con la Empresa Provincial de Transporte para hacer rutas específicas, precios topados, el uso de una tarjeta magnética para la compra de combustible y la obligación de abrir una cuenta bancaria. Un grupo de choferes privados pertenecientes a la Asociación Cubana de Transportistas Autónomos, presidida por su coordinador nacional, Rafael Alba Macías, y localizados en el parque El Curita, en Centro Habana, decidieron dejar de ofrecer el servicio, no ir a la piquera y no recoger pasaje en las calles, lo que dio comienzo a una especie de huelga silenciosa. En los siguientes días se sumaron más privados a la protesta en los diferentes barrios.","REPRESIÓN Y DIÁLOGO. El líder de los choferes fue detenido y, al ser liberado, anunció que la protesta se extendería hasta el 17 de diciembre. Los transportistas fueron entonces citados por las autoridades del sector, quienes les ofrecieron establecer una moratoria en la implementación de las medidas si ellos regresaban a dar servicio. Los boteros levantaron la protesta.",NULL,NULL
,21-12-2018,La Habana,Performance (juego de fútbol),Performance ,Performance,Artistas,LIBERTAD DE EXPRESIÓN. Contra el 349,Estado cubano (Ministerio de Cultura),Contra la censura y el 349,NULL,NULL,NULL
P18-20,01-02-2019,La Habana,Performance,Performance,Performance,LGBTI,"DERECHOS LGBTI. El proyecto “Dame la mano” se hizo viral en redes sociales, en una convocatoria de expresión libre que culminó con decenas de fotos de acciones públicas y performativas. La iniciativa también compartió imágenes de parejas LGBTI que paseaban tomadas de la mano por espacios de la ciudad.",Estado cubano (Parlamento)/sociedad,Derechos LGBTI,INDIFERENCIA (no incluyeron el art. 8),https://www.facebook.com/photo/?fbid=579033495841533&set=g.123004041563340,NULL
P18-21,14-02-2019,Matanzas y La Habana,Performance,Performance,Performance,LGBTI,DERECHOS LGBTI. Proyecto Arcoíris/formaron banderas humanas de arcoíris.,Estado cubano/sociedad,Derechos LGBTI,"El proyecto “Dame la mano” se hizo viral en redes sociales, en una convocatoria de expresión libre que culminó con decenas de fotos de acciones públicas y performativas. La iniciativa también compartió imágenes de parejas LGBTI que paseaban tomadas de la mano por espacios de la ciudad.",https://www.facebook.com/photo/?fbid=579067582504791&set=g.123004041563340 y https://www.facebook.com/photo/?fbid=579067572504792&set=g.123004041563340,NULL
P19-22,31-03-2019,Varias ciudades,Performance,Performance,Performance,LGBTI,"DERECHOS LGBTI. Día para visibilizar personas trans cristaliza en Cuba. Plazas y espacios públicos de varias ciudades cubanas se pintaron de colores, a partir de la propuesta de un grupo de activistas para reunirse y formar banderas humanas del arcoíris, coincidiendo con el Día de la Visibilidad de las personas transgénero, el 31 de marzo.",Estado cubano/sociedad,Derechos LGBTI,TOLERANCIA,https://ipscuba.com/genero/dia-para-visibilizar-personas-trans-cristaliza-en-cuba/    https://www.ipscuba.net/sociedad/2019-del-activismo-digital-a-la-accion-ciudadana/,NULL
P19-23,07-04-2019,La Habana,Marcha animalista autorizada,Marcha,Marcha,Animalistas (200 personas),"DERECHOS ANIMALES. Los manifestantes demandan el fin de la crueldad con los animales en Cuba. Llegaron varias personas, todas con sus perros y gatos atados a correas o envueltos en telas dentro de coches de niños; en su mayoría son mujeres. La marcha se realizó por la calle 25 hasta 12 y terminó en la tumba de Rinti.",Estado cubano,"Consignas y pancartas: «Hablamos por los que no tienen voz», «CAMBIAMOS DE CONDUCTA O CAMBIAMOS DE PLANETA», «ELLOS NO CONOCEN LAS SEÑALES DE TRÁNSITO, PERO TÚ SÍ. BAJA LA VELOCIDAD. SU VIDA IMPORTA», «POR UNA SOCIEDAD SIN VIOLENCIA, DI NO AL MALTRATO ANIMAL», «LOS ANIMALES TAMBIÉN TIENEN DERECHOS», «CUBA CONTRA EL MALTRATO ANIMAL»","El gobierno socialista ha autorizado de forma explícita una marcha pública no relacionada con ningún aspecto del amplio Estado comunista, una decisión que participantes e historiadores consideran muy inusual y quizá sin precedentes desde los primeros años de la revolución.",https://apnews.com/article/2d40e6c6434a4da8bc6b37c61ac2a2bd https://revistaelestornudo.com/animales-activistas-independientes-ley-proteccion-cuba/,NULL
P19-24,11-05-2019,La Habana,Marcha gay,Marcha,Marcha,Comunidad LGBTIQ y aliados (200 personas),"DERECHOS LGBTI. A favor de los derechos de las personas LGBTIQ y en respuesta a la suspensión por parte del Centro Nacional de Educación Sexual (CENESEX) de la tradicional Conga contra la Homofobia y la Transfobia, que se había hecho con apoyo del gobierno durante 11 años consecutivos, y las detenciones por parte del gobierno de algunos de sus principales promotores en la intersección de Paseo del Prado y Avenida Malecón, han desatado múltiples reacciones en las redes sociales y en otras plataformas del ciberespacio, como algunos blogs. Se llevó a cabo una caminata desde el Parque Central hasta el Malecón.","Autoridades locales (Centro Nacional de Educación Sexual, CENESEX)","Gritaron consignas como: ""Cuba diversa"", ""¡Sí se pudo!"", ""¡Cuba, lo más grande!""","A pesar de no tener la autorización correspondiente, las autoridades policiales y del Ministerio del Interior acompañaron y custodiaron por varias cuadras ese extenso paseo. Hubo represión durante la marcha por parte de la dictadura, ya que había policías vestidos de civiles, policías uniformados, patrullas, camiones a los costados, etc. Fueron muy poco civilizados, la mayoría con las peores maneras, bastante faltos de respeto y despectivos hacia la comunidad. Detuvieron a varios de los manifestantes.",https://eltoque.com/marcha-del-11-de-mayo-consecuencias,NULL
,01-06-2019,La habana,Manifiesto/Comunicado,Manifiesto,Comunicado,SNET,"Necesidad de mantener espacios de recreación sana, en defensa de su red independiente al Estado.",Estado cubano (Ministerio de Comunicaciones),"En defensa de su red, quieren mantener canales de diálogo con las autoridades.",NULL,https://www.dropbox.com/s/nuoor27ex6h3ivz/2019-06-01%20Comunicado%20Oficial%20Equipo%20Administraci%C3%B3n%20SNET%20-%20Nuevas%20Regulaciones.pdf?dl=0&fbclid=IwAR34NHFLPLXDWbqe4KyqwTvYJ3OpfIT2KX8wwlLwdBSBTfT1FyGJ5O6cYdg,NULL
,02-06-2019,La Habana Vieja,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Servicios (agua). Decenas de personas cerraron una importante avenida con cubos de agua mientras se quejaban por la falta del líquido en sus hogares debido a que llevaban casi 20 días sin suministro de agua.,Autoridades locales,"""No fue tanto una protesta, estábamos pidiendo que nos pusieran el agua porque había problemas con la entrada de agua (…) No era nada realmente político"". ""Once días sin agua y el gobierno, estamos cansados de ir, y no nos responden, no nos mandan una pipa"", dijo una de las personas que protestó en un video divulgado en redes sociales y publicado luego en medios de prensa en EE. UU.",La policía controló la situación y hubo diálogo con autoridades.,https://www.martinoticias.com/a/protesta-en-la-habana-vieja-por-falta-de-agua-/240102.html,NULL
,11-06-2019,La Habana,Recogida de firmas,Recogida de firmas,Recogida de firmas,TPCP,Derechos de TPCP (internet). Los dueños de Snet recogen firmas para superar la cifra de 10 mil personas y reclamar un cambio en la legislación que entra en vigor sobre el acceso a internet.,Autoridades locales,NULL,NULL,https://www.cubatel.com/blog/snet-y-la-recogida-de-firmas-del-internet-cubano/,NULL
,07-2019,Santiago de Cuba,Huelga,Huelga,Huelga,TPCP transportistas,DERECHOS ECONÓMICOS CONTRA IMPUESTOS,Autoridades locales,"Nuevos precios topados para los transportistas privados. Ante el anuncio, los choferes privados expresaron que la medida era injusta, y que “con los precios del combustible y las roturas” la cuenta no daba. En protesta, decidieron no ofrecer más servicio, provocando una crisis en la capital provincial.",DIÁLOGO. El primer secretario del Partido Comunista en Santiago de Cuba convocó a la Asamblea Provincial del Poder Popular para tratar la crisis con los transportistas privados tras la paralización del sector. Lázaro Expósito Canto se reunió con los afectados en el teatro Heredia y decidió convocar a la Asamblea Provincial para que los delegados decidieran sobre el precio a cobrar.,https://www.radiotelevisionmarti.com/a/protestas-en-cuba-durante-2019-que-lograron-su-prop%C3%B3sito/254118.html,"Se satisfizo la demanda. Los privados se incorporaron con recelo al trabajo el 31 de julio, luego de que el gobierno local diera marcha atrás al tope de precios de las tarifas que motivó una prolongada protesta y la paralización del servicio"
P19-27,01-08-2019,La Habana,Carta abierta,Carta abierta,Carta abierta,Afrodescendientes,"DISCRIMINACIÓN RACIAL. La Cofradía de la Negritud envió al presidente de los Consejos de Estado y de Ministros, Miguel Díaz-Canel, una Carta Abierta titulada “Algunas consideraciones sobre la problemática racial en Cuba”. Al parecer, como ya ha pasado en otras ocasiones, la misiva se quedará esperando respuesta.",Presidente del Estado cubano,Discriminación racial,SIN RESPUESTA,https://www.cubanet.org/noticias/envian-carta-abierta-a-diaz-canel-sobre-problematica-racial-en-cuba/,NULL
,02-08-2019,La Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Servicios (vivienda). Miembros de varias familias albergadas acudieron este miércoles a la sede de la Asamblea Provincial del Poder Popular exigiendo mejores condiciones habitacionales.,Autoridades locales,NULL,La respuesta de las autoridades locales fue que se dirigieran a la Dirección Provincial de Vivienda. Allí les prometieron que iban a ser atendidos por el director provincial del organismo y otros funcionarios gubernamentales.,https://www.cubanet.org/mas-noticias/familias-albergadas-protestan-frente-al-gobierno-provincial-de-la-habana/,NULL
,07-08-2019,La Habana,Carta abierta,Carta abierta,Carta abierta,GAMERS (jóvenes de Snet),Servicios (internet),Díaz Canel/ atención a la población del Comité Central/Consejo de Estado/MINCOM/Poder Popular,"""Respetamos los canales y procedimientos establecidos y solo pedimos seguir siendo partícipes de la informatización en cada barrio, cuestión donde somos pioneros. Si pedimos mantener la red es precisamente por el desarrollo que ha alcanzado y su labor uniendo barrios, llevando entretenimiento y conocimiento a muchos hogares del país, ayudando a formar valores positivos para nuestra sociedad. Y sobre todo para mantener esta enorme familia que hemos creado"".",NULL,https://www.facebook.com/100013937675913/posts/645145355960048?s=100000143447988&sfns=mo,NULL
,10-08-2019,La Habana,Concentración/Plantón,Concentración,Plantón,GAMERS (jóvenes de Snet),"DERECHO A INTERNET. La demanda es reclamar a las autoridades el reconocimiento y la legalización de la red clandestina Snet ante las resoluciones 98 y 99 implantadas por el Ministerio de las Comunicaciones, en las que declaraban que las redes inalámbricas deben tener un límite que no sobrepase los 100 milivatios, que se prohíban las redes malladas y que los cables no puedan cruzar las calles; estas dos últimas, las principales causas que hicieron salir del juego a SNET, ya que su radio de conexión unía a diferentes municipios. La resolución a la cual se opone Snet los obliga a entregar sus equipos a los JCC o, de otra forma, quedarían todos decomisados.",Estado cubano (Ministerio de las Comunicaciones),"Carteles: ""Todo por Snet, Somos una familia"".","La policía política movilizó efectivos alrededor de la zona para evitar cualquier tipo de aglomeración de personas. También se informa de la presencia de agentes frente a las residencias de activistas y periodistas independientes. Los jóvenes han sido asediados y amenazados por la policía con arrestos para que no continúen sus esfuerzos. Tal es así que una segunda organización programada para el 17 de agosto no se materializó. Posteriormente se realizó una reunión para llegar a un acuerdo que concluyó en la fragmentación de Snet. Los Joven Club de Computación del Estado cubano, que no contaban con un servicio de red inalámbrica wifi como alternativa a las carencias de internet, adoptaron la lógica y la experiencia Snet para, después de un año gratis, empezar a cobrar por los servicios que usurparon.",https://www.youtube.com/watch?v=lYVIOEXfDPo&t=45s https://www.cubaenmiami.com/snet-pierde-la-batalla-contra-el-mincom-y-la-red-callejera-podria-pasar-a-manos-de-los-joven-club-de-computacion-estatales/,NULL
P19-28,07-10-2019,La Habana,Manifiesto/Comunicado/Carta,Manifiesto,"Comunicado, Carta",Periodismo independiente,"LIBERTAD DE PRENSA. Declaración conjunta de los medios independientes y la legalización de la prensa independiente. 19 medios de comunicación cubanos independientes, los periodistas de la isla denunciaron vivir una ola de represión por parte del gobierno de Miguel Díaz-Canel, para acallarlos.",Estado cubano,Libertad de expresión y prensa,NULL,https://latamjournalismreview.org/es/articles/19-medios-cubanos-independientes-publican-declaracion-conjunta-para-exigirle-al-gobierno-mas-proteccion-y-respeto-a-la-prensa/,NULL
,14-10-2019,"Marianao, La Habana",Bloqueo,Bloqueo,Bloqueo,Ciudadanos/pueblo,"Servicios (vivienda). Decenas de habitantes cortaron el tráfico en el municipio de Marianao, en protesta contra los desalojos en una comunidad de bajos recursos de esa localidad.",Estado cubano/autoridades locales,“¡Abajo el desalojo! ¡En Cuba sí hay desalojo!”,"Hubo presencia de varios agentes de la Policía Nacional Revolucionaria. Al día siguiente fue que se presentaron las entidades correspondientes al sector, Planificación Física.",https://www.cubanet.org/noticias/protestan-contra-desalojos-y-demoliciones-en-la-habana/,NULL
P19-29,11-11-2019,La Habana,Plantón,Plantón,Plantón,Animalistas,"DERECHOS ANIMALES. Los activistas demandan un cambio en la forma en que se lleva a cabo la recogida de los animales en la calle, y piden que se sacrifiquen solamente aquellos que presenten una condición irreversible, no masivamente como se hace en la actualidad. Denunciaron que los perros estaban siendo sacrificados sin esperar las 48 horas que establece la ley. También piden el cierre del lugar contra el que pesan numerosas denuncias de maltrato animal y pidieron que se tomen medidas como la esterilización y la concientización de la población. En esta ocasión los activistas decidieron organizar la protesta de manera discreta y solo usaron mensajes de WhatsApp para acordar la fecha y la hora. Una vez instalados allí, compartieron su presencia por las redes y convocaron a un twitazo con los hashtags: #LeyDeProtecciónAnimalCubaYa, #ZoonosisAsesinos y #ZooNazis, sumándose algunos vecinos y otros activistas.","Autoridades locales (Centro de Observación Canina, Zoonosis)","Carteles que decían: ""Cierre de Zoonosis"", ""Abajo Zoonosis"", ""Estricnina no"", ""Esterilizar sí, matar no"", ""Hablamos por los que no tienen voz"", ""Ni una pata más"".","Acudieron al lugar policías y agentes de la Seguridad del Estado. Se organizó una reunión entre activistas que piden una Ley de Protección Animal en Cuba y las autoridades encargadas del tema en el Centro de Higiene y Epidemiología de La Habana, en la que ""no hubo solución, no hubo respuestas"".",https://www.cibercuba.com/noticias/2019-11-11-u1-e129488-s27061-cubanos-protestan-frente-instalacion-zoonosis-habana https://www.radiotelevisionmarti.com/a/activistas-sienten-que-el-gobierno-se-burla-ante-exigencia-de-protecci%C3%B3n-animal/252284.html,NULL
P19-30,21-11-2019,La Habana,Recogida de firmas/Petición,Recogida de firmas,Petición,Feministas,"LEY CONTRA LA VIOLENCIA DE GÉNERO. Solicitud de la Ley Integral contra la Violencia de Género y recogida de firmas: 40 firmas físicas (1000 por internet #YoSíTeCreo, en Change.org 3900).",Estado cubano (Parlamento),Contra la violencia de género,DIÁLOGO (no ley),https://negracubanateniaqueser.files.wordpress.com/2019/11/solicitud-de-ley-integral-contra-la-violencia-de-gc3a9nero-21_11_2019.pdf,NULL
,21-11-2019,La Habana,Carta abierta,Carta abierta,Carta abierta,Feministas,"CONTRA LA VIOLENCIA DE GÉNERO. Cientos de personas firmaron hasta el momento una carta abierta escrita por un grupo de feministas cubanas, que respaldan a la cantante y compositora Dianelys Alfonso, “La Diosa de Cuba”, así como a otras mujeres víctimas de agresiones sexistas. Hasta la noche del 28 de junio, 298 personas habían firmado la carta y muchas otras dejaron comentarios en la plataforma.",Estado cubano/sociedad,Contra la violencia de género,"INDIFERENCIA, RECHAZO",https://www.ipscuba.net/genero/carta-abierta-de-feministas-cubanas-respalda-a-mujeres-victimas/,NULL
P19-31,26-12-2019,La Habana,Marcha/Performance,Marcha,Performance,Animalistas,DERECHOS ANIMALES. Un grupo de activistas (20) por los derechos de los animales realizaron una marcha en silencio en protesta por la muerte violenta de un perro en Guanabacoa.,Estado cubano/sociedad,Derechos animales,"TOLERANCIA, INDIFERENCIA",https://oncubanews.com/cuba/animalistas-cubanos-marchan-en-silencio-por-perro-asesinado/,NULL
P19-32,01-12-2019,La Habana,Performance,Performance,Performance,Feministas,"CONTRA LA VIOLENCIA DE GÉNERO. En una explanada de la Universidad de las Artes (ISA) y autorizadas por su rector, una treintena de estudiantes, diseñadoras, periodistas y abogadas, sensibilizadas con la causa de las mujeres de Chile y por la no violencia machista, realizaron la coreografía con los ojos vendados.",Sociedad,Contra la violencia de género,"TOLERANCIA, COLABORACIÓN",https://www.ipscuba.net/genero/feministas-cubanas-replican-un-violador-en-tu-camino/,NULL
P19-33,14-02-2020,La Habana,Huelga,Huelga,Huelga,TPCP (boteros),"CONTRA IMPUESTOS, DERECHOS ECONÓMICOS. Los transportistas privados cubanos dieron a conocer un pliego de demandas al Gobierno como medida de presión para regresar con normalidad al trabajo, tras la puesta en vigor este mes de nuevas regulaciones para el transporte de pasajeros. Una lista de cinco exigencias fueron hechas públicas el jueves por la Asociación Cubana de Transportistas Autónomos (ACTA) en La Habana, Mayabeque y Artemisa, de acuerdo con el reporte de Radio Televisión Martí, que incluyen autorizar la libertad de movimiento para los taxistas privados; aprobar una sola licencia operativa de pasajeros; que se les permita trabajar en todo el país, incluidas las zonas turísticas, y se les autorice adquirir una cantidad de combustible según el consumo; además de poner fin al tope de precios decidido por el Gobierno.",Estado cubano,NULL,"Ha ocurrido una disminución de la represión en contra de los transportistas en servicio. ""La posición de las autoridades ha sido la de dejar hacer: no hay inspectores prácticamente hoy en las calles y la Policía no está parando los carros, como al principio lo hicieron, porque saben que la situación se va de su control"".",https://www.radiotelevisionmarti.com/a/cuba-boteros-taxis-privados-protestas-precios/126304.html  https://diariodecuba.com/cuba/1581677308_10953.html,NULL
P19-34,14-02-2020,La Habana,Performance,Performance,Performance,LGBTI,DERECHOS LGBTI. Se reunieron 30 activistas para protestar por la censura de un beso gay en una película.,ICRT,Derechos LGBTI,La Televisión Cubana se disculpa por la censura de un beso gay. Los activistas que convocaron a una besada frente al ICRT fueron amenazados y uno de ellos arrestado.,https://www.yucabyte.org/2020/03/03/las-controversias-de-una-disculpa/ https://twitter.com/14ymedio/status/1234160164347011073,NULL
,19-02-2020,La Habana,Manifestación/Concentración,Manifestación,Concentración,TPCP,"Derechos TPCP contra alza de impuestos. Protesta en una reunión en Marianao: “Queremos ver a la ministra”. “No nos valoran en la ley ni nos tratan como seres humanos. No tenemos derecho a vacaciones. Si sales de vacaciones tienes que pagar”. Una multitud evidentemente alterada y gritos de “queremos ver a la ministra”, es lo que muestra un video sobre una reunión de trabajadores por cuenta propia en La Habana, transformada en protesta espontánea de rechazo a orden de la Ministra de Comercio Interior de Cuba. La protesta respondió a un decreto de última hora que buscaría elevar los impuestos a los dueños de puntos de venta de viandas y carne de cerdo, al parecer con la intención de elevar el presupuesto estatal, en momentos en que el desabastecimiento de alimentos ha repercutido negativamente en la media histórica de ingresos en los mercados estatales. “Mira cuántos trabajadores y no hay sindicato”, “no nos valoran en la ley ni nos tratan como seres humanos. No tenemos derecho a vacaciones. Si sales de vacaciones tienes que pagar”, “yo tengo que decir que si viene un dirigente y me dice ´ustedes tienen un negocio´, yo tengo que responder ´no, el negocio lo tiene el Estado´, porque a nosotros no nos dan nada”.",Ministra de Comercio Interior,“Queremos ver a la ministra”,DIÁLOGO,https://www.cubanet.org/destacados/protesta-cuba-cuentapropistas-en-la-habana-contra-alza-de-impuestos,NULL
P19-35,12-03-2020,"Santa Clara, Villa Clara",Marcha/Manifestación (unas 500 personas),Marcha,Manifestación,TPCP,"LIBERTAD PARA COMERCIAR, DERECHOS ECONÓMICOS. Impedir el cierre de la llamada “candonga”, punto de ventas. En Santa Clara, y en Cuba, la relación entre estos espacios y las autoridades de gobierno ha sido tensa desde el inicio. La protesta fue un pico en esa tensión acumulada. La manifestación reunió a más de 500 personas y fue espontánea. Jessica estuvo en la manifestación organizada por estos cuentapropistas en Santa Clara, una movilización popular que partió desde la misma zona hospitalaria para detenerse por unos minutos frente al Gobierno Provincial. “Allí no nos hicieron caso, por eso nos fuimos para el Partido. Por el camino se nos fue sumando gente de la calle”, rememora. “Aquello se puso duro, mucha gritería, no sé decirte la cantidad de vendedores que había, pero éramos muchos”.",Autoridades locales (PCC)/Gobierno provincial,"“Queremos candonga, queremos comercio”. “No nos vamos de aquí hasta que no tengamos respuesta”. “Queremos importación”, “No dejen pasar los carros” o “Que vengan ellos aquí”. “Hasta que no nos respondan no se abre esta calle”.","DEMANDA SATISFECHA. DIÁLOGO Y PERMISO PARA QUE SIGAN VENDIENDO. Yudi Rodríguez Hernández, la secretaria del PCC provincial, conversa con manifestantes y les asegura de palabra “que estuviéramos tranquilos, que no iba a pasar nada”.",https://www.radiotelevisionmarti.com/a/protesta-hizo-que-jefa-del-pcc-en-villa-clara-pidiera-un-plazo-para-resolver-demandas/260089.html https://eltoque.com/la-protesta-de-los-candongueros-en-santa-clara-por-que-salieron-a-la-calle https://www.cubanet.org/destacados/cuba-queremos-comercio-protesta-masiva-santa-clara-candonga/    Yhttps://www.cubanet.org/destacados/por-que-se-rebelaron-los-cuentapropistas-en-santa-clara/ https://www.cubanet.org/destacados/por-que-se-rebelaron-los-cuentapropistas-en-santa-clara/,NULL
,01-06-2020,"Boyeros, La Habana",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicio (vivienda). Decenas de mujeres radicadas en un albergue del municipio de Boyeros, protestaron contra el desalojo de Lisandra Arias Reyes, una adolescente embarazada que habita el local desde hace tres años. También denunciaron las malas condiciones del albergue y el foco de corrupción que tienen con los albergues y las viviendas.",Estado cubano/autoridades locales,"""Abajo el Gobierno, Abajo Castro, Abajo Díaz-Canel""",Hay presencia de un funcionario.,https://www.cubanet.org/noticias/mujeres-protestan-por-corrupcion-en-albergue-de-la-habana/,NULL
,15-06-2020,La Habana,Manifiesto/Comunicado/Petición,Manifiesto,"Comunicado, Petición",Artistas/intelectuales,"Libertad de expresión. Una decena de activistas, periodistas y opositores cubanos entregaron el lunes a las máximas instituciones cubanas los documentos que sustentan una petición para declarar la inconstitucionalidad del Decreto-Ley 370, conocido como ""Ley Azote"", instrumento legal que desde el inicio de la pandemia del COVID-19 usa el régimen para reprimir a periodistas, activistas y miembros de la sociedad civil por criticar en las redes sociales la situación del país.",Estado cubano,NULL,SIN RESPUESTA,https://diariodecuba.com/derechos-humanos/1591659557_23044.html,NULL
,16-06-2020,"Moa, Holguín",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (alimentos). Un grupo de personas que no excedió las 40 o 50, se dirigieron hasta el Poder Popular y solicitaron la presencia de un funcionario que explicara la situación. De manera pacífica informaron que tienen hambre y necesitan ser atendidos con comida y aseo personal, en medio de una pandemia mundial como la COVID-19, y no hay nada de nada en las tiendas.",Autoridades locales,"""Queremos aseo""",NULL,https://www.cubanet.org/noticias/cubanos-protestan-en-holguin-por-la-escasez-de-comida-y-productos-de-aseo/,NULL
P20-36,22-06-2020,La Habana,Litigio,Litigio,Litigio,LGBTI,"DERECHOS LGBTI. Alberto Roque Guerra, activista LGBTI+ cubano y autor del blog HOMO Sapiens, anunció que impuso una demanda contra la cantante cubana Danay Suárez, blanco de críticas y en medio de una polémica luego de publicar en redes sociales su postura sobre la homosexualidad y la pedofilia.",Individuo,Derechos LGBTI,La cantante cubana Danay Suárez fue absuelta por el Tribunal Provincial Popular de La Habana.,https://www.ipscuba.net/sociedad/2020-resiliencia-en-tiempos-de-covid-19/ https://s3.eu-central-1.amazonaws.com/qurium/cubanet.org/noticias-activista-lgbti-presenta-demanda-contra-cantante-danay-suarez.html,NULL
,01-07-2020,la habana,Carta abierta,Carta abierta,Carta abierta,LGBTI,"DERECHOS LGBTI. Carta a Esteban Lazo Hernández DE Plataforma 11M Primero: Que los cuadros y dirigentes del ICRT, así como los asesores, directores, guionistas y demás trabajadores, reciban una mayor capacitación en temas de género, sexualidad y derechos sexuales. Segundo: Que las personas que incurran en actos discriminatorios sean sancionadas de acuerdo con la ley como forma de escarmiento por la violación de los principios constitucionales. Tercero: Que todas las alertas o demandas que se hagan al ICRT o cualquier otra institución pública por motivo de discriminación obtengan una debida respuesta, con el correspondiente reparo por el daño ocasionado a las personas o colectivos afectados. Cuarto: Que sea elaborada de inmediato una política oficial para el ICRT sobre el tratamiento de estos temas en los medios de comunicación que esté en consonancia con los principios constitucionales establecidos.",Estado cubano (Parlamento),Alarmante situación de violación de derechos fundamentales en la que incurre sistemáticamente el Instituto Cubano de Radio y Televisión (ICRT).,NULL,https://plataforma11mcuba.medium.com/carta-a-esteban-lazo-hern%C3%A1ndez-d2f98be1d478,NULL
,08-08-2020,"Morón, Ciego de Ávila",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios (vivienda). La familia Mora, con sus hijos pequeños, se plantó frente a la sede municipal del Partido Comunista de ese territorio a protestar pacíficamente en reclamo del derecho a una vivienda digna. Esta situación fue respaldada por ciudadanos del municipio.",Autoridades locales,"No se gritaron consignas contra los dirigentes, simplemente los afectados, que no son opositores, exigieron de manera pacífica sus derechos.","Agentes de la policía del régimen intentaron fallidamente desintegrar la manifestación, que no vio su fin hasta que la familia fue conducida ante las autoridades municipales, que prometieron una solución de vivienda.",https://www.cubanet.org/noticias/familia-cubana-protesta-frente-al-partido-de-moron/,NULL
,07-11-2020,"Carlos Rojas, Matanzas",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"SERVICIOS (electricidad). Decenas de personas rodearon a varios funcionarios, incluyendo uno vestido con uniforme militar, para exigir la restitución del servicio eléctrico. ""Estamos cansados de mentiras"", advierte la activista y Dama de Blanco, Sissi Abascal Zamora, a uno de los directivos. A la protesta se unieron tanto los opositores del pueblo como los ciudadanos comunes.",Autoridades locales,"""Mentirosos""",Había presencia de funcionarios militares en el lugar y restablecieron el servicio eléctrico después de la protesta.,https://www.14ymedio.com/cuba/Protesta-Carlos_Rojas-Matanzas-funcionarios-electricidad_0_2981101866.html,NULL
