id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente,resultado
,17-12-2012,La Habana,Marcha/Performance,Marcha,Performance,Artistas/OMNI,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía, entendemos como poesía el estado general del país, de la nación cubana”.",Estado cubano/sociedad,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía, entendemos como poesía el estado general del país, de la nación cubana”","TOLERANCIA, VIGILANCIA",NULL,NULL
,16-08-2013,Sancti Spiritus,Huelga,Huelga,Huelga,TPCP (cocheros),DERECHOS ECONÓMICOS CONTRA IMPUESTOS. “unos 300 cocheros” de esa ciudad iniciaron la huelga el martes 13 y la concluyeron el miércoles 14.,Autoridades locales,NULL,"DIÁLOGO. Un total de “cinco cabecillas identificados por la policía política fueron llevados a la sede de la Oficina Nacional de la Administración Tributaria (ONAT), donde les explicaron que debían ser cuidadosos y ahorrar durante todo el año para pagar los impuestos”.",NULL,NULL
,11-09-2013,Santa Clara,Huelga,Huelga,Huelga,TPCP (cocheros),CONTRA IMPUESTOS. DERECHOS ECONÓMICOS. Paro para exigir respuestas a los reclamos que habían formulado a la Asamblea Provincial de Poder Popular. ESTA PROTESTA FUE APOYADA POR GRUPOS DISIDENTES.,Autoridades locales (Asamblea Provincial del Poder Popular),"""A pesar de haber hecho una reclamación al gobierno para que les rebajen los impuestos, no recibían respuestas"".","Que varios activistas de DDHH fueron detenidos, entre ellos Guillermo Fariñas.",https://www.radiotelevisionmarti.com/a/cuba-cocheros-portesta-salarios-detenciones-/27353.html,NULL
,01-10-2013,"Puerto Padre, La Tunas",Plantón/Manifestación/Concentración,Plantón,"Manifestación, Concentración",TPCP (cocheros),Derechos TPCP. Cocheros reclaman su derecho a transitar por la carretera. Se produjo en inmediaciones de la sede del gobierno municipal. Las autoridades habían prometido acondicionar el camino de desvío.,Autoridades locales,NULL,"La respuesta del Gobierno tampoco se hizo esperar: en lo adelante y hasta tanto no se solucionen los problemas en el camino de desvío, pueden continuar transitando por la carretera.",https://www.cubanet.org/noticias/protesta-de-cocheros-en-puerto-padre-hace-ceder-al-gobierno/,NULL
,10-12-2013,La Habana,Manifestación/Concentración,Manifestación,Concentración,Artistas/intelectuales,"Libertad de expresión. Unos 40 artistas raperos protestan esta tarde frente a las oficinas del Instituto Cubano de la Música. El motivo de la queja es el cambio a última hora de la sede de Puños Arriba para un evento de música alternativa que debía realizarse el próximo jueves día 12. Poco antes lanzaron un manifiesto en redes sociales y fueron caminando hasta el lugar desde las calles Línea y 18, Vedado.",Autoridades locales,“La cultura es un derecho del pueblo”,"Fueron rodeados por la Seguridad del Estado, y durante las horas de protesta enfrentaban amenazas de arrestos y golpizas. Hubo un proceso de negociación con los funcionarios de la institución. Asimismo, los que quedaban esperando afuera aplaudían. Finalmente, luego de varias horas de negociaciones, la institución aceptó.",www.cubanet.org/noticias/unos-40-creadores-del-hip-hop-protestan-en-el-instituto-cubano-de-la-musica/ https://www.cubanet.org/noticias/el-15n-y-las-protestas-publicas-en-cuba-en-el-ultimo-decenio/ https://www.martinoticias.com/(S(eqzr34polip4ieklolqmdro))/a/raperos-cubanos-protestan-frente-instituto-de-la-musica/30088.html https://sociedadcivilcuba.net/archivo/observacuba/gala-punos-arriba-los-raperos-se-imponen-y-el-instituto-de-la-musica-rectifica/index.html,NULL
P13-04,17-12-2013,La Habana,Marcha/Performance,Marcha,Performance,Artistas/intelectuales,"LIBERTAD DE EXPRESIÓN. Peregrinación al Rincón Omni Zona Franca, unas 30 personas pidiendo salud, entendimiento, solidaridad, paz, libertad, sabiduría y amor para todos los cubanos sin distinción. Marcharon desde la fuente luminosa hasta el Rincón. También hay registro de la acción en 2009.",Estado cubano/sociedad,"""Un garabato para que se abran los caminos"" y entonces se improvisa: se pide el bienestar para Cuba, la libertad colectiva, individual… La gente se alegra. Unos jóvenes se nos unieron hasta el final, marchando. Otros, durante un tramo, se animaron a improvisar también; hubo alguien que se animó tanto que pidió un remo para abrir los mares y otro, libertad de expresión. Al final, en el templo, son las palabras del grupo a la nación, palabras vigiladas, que esta vez fueron individuales, pidiendo Salud, Entendimiento, Solidaridad, Paz, Libertad, Sabiduría, Amor para todos los cubanos"".","Los peregrinos fuimos escoltados por una patrulla de la PNR hasta El Rincón. En el tramo de Santiago de las Vegas a la iglesia, había un operativo policial con varias patrullas, camiones de la policía y muchos agentes de la Seguridad del Estado esperando a que los peregrinos llegaran ahí.",http://omnizonafranca.blogspot.com/2013/12/cuba-poesia-sin-fin-ya-comenzo.html?m=0 y  para 2'009  https://www.youtube.com/watch?v=tY1pMtGsQQ8,NULL
,21-01-2014,Holguín,Marcha/Manifestación/Concentración,Marcha,"Manifestación, Concentración",TPCP/Ciudadanos/Pueblo,Derechos TPCP. Un centenar de cuentapropistas protestaban en una zona céntrica por las recientes ordenanzas del gobierno que prohíben vender sus productos a quienes incluso han sacado licencia.,Autoridades locales,"""Queremos trabajar""",La Seguridad del Estado desplegó a sus agentes; muchos guardias iban de civil y esto llevó a una confusión tal que los propios manifestantes los golpearon para defenderse.,https://www.cubanet.org/actualidad-destacados/protesta-masiva-en-holguin/ https://www.youtube.com/watch?v=6LjXtCmHSNU,NULL
P14-05,17-02-2014,La Habana,Carta abierta,Carta abierta,Carta abierta,Afrodescendientes,DISCRIMINACIÓN RACIAL. Cofradía de la Negritud envía una carta abierta a la comisión organizadora del Congreso de la CTC para pedir que se rechace la discriminación en el ámbito laboral.,Autoridades locales (CTC),Discriminación racial laboral,SIN RESPUESTA,https://negracubanateniaqueser.com/2014/02/22/carta-abierta-de-la-cofradia-de-la-negritud-a-la-comision-organizadora-del-xx-congreso-de-la-central-de-trabajadores-de-cuba/,NULL
,02-06-2014,"Cárdenas, Matanzas",Huelga,Huelga,Huelga,TPCP (cocheros),"DERECHOS ECONÓMICOS CONTRA MEDIDAS. Un grupo de cocheros y bicitaxistas se pusieron en huelga frente a la sede de la Asamblea Municipal del Poder Popular de la ciudad de Cárdenas, en respuesta a la decisión de las autoridades de limitar las rutas de cocheros y bicitaxistas a calles secundarias alejadas de las vías principales de la ciudad.",Autoridades locales (Asamblea Municipal del Poder Pouplar),"Después reina el malestar entre estos trabajadores, porque las autoridades les impiden transitar por las calles principales de la ciudad, donde podrían encontrar a un número mayor de clientes. El Gobierno de Cárdenas había prometido el lunes pasado resolver satisfactoriamente el problema, lo que permitió poner fin a la huelga y la concentración de cocheros y taxistas frente a las sedes del Poder Popular y el Partido Comunista… y ahora se aparecen con otro cuento.","DIÁLOGO, PROMESAS",https://www.radiotelevisionmarti.com/a/69364.html  y https://www.radiotelevisionmarti.com/a/cuba-cardenas-matanzas-protestas-detenciones-cocheros-bicitaxistas-/36095.html,NULL
,03-06-2014 / 02-07-2014,Cienfuegos,Huelga,Huelga,Huelga,TPCP (cocheros),"CONTRA IMPUESTOS. DERECHOS ECONÓMICOS. Huelga de brazos caídos, destinada a reclamar de las autoridades políticas de la localidad el cese de un conjunto de disposiciones que los transportistas consideran lesionan sus intereses. Por ello, según nos cuenta un cochero de la piquera Caunao nombrado Roberto, sobre las 10 de la mañana cerca de cien cocheros se personaron en la sede municipal del Poder Popular Municipal de Cienfuegos (PPMC) para reclamar ante funcionarios de esa entidad respuesta a un conjunto de demandas. Se estima que entre 200 y 400 cocheros participan en la protesta y que al menos diez han sido arrestados.",Autoridades locales (Poder Popular Provincial),"Contra disposiciones laborales: no poder transitar por calles y avenidas populosas que alcanzan la zona comercial, que los transportistas consideran vital para el sostenimiento del negocio e impuestos onerosos.","DIÁLOGO (gestos simbólicos) Y REPRESIÓN. Medio centenar de cocheros debió esperar en las afueras de la entidad gubernamental rodeados de Boinas Negras (fuerzas élites utilizadas frecuentemente por el gobierno del General Raúl Castro para reprimir protestas ciudadanas), efectivos de la Seguridad del Estado y activos de la Policía Nacional Revolucionaria. Se estima que entre 200 y 400 cocheros participan en la protesta y que al menos diez han sido arrestados.",https://www.cubanet.org/noticias/huelga-de-cocheros-termina-con-varios-detenidos/,No se satisfizo la demanda
P14-06,25-06-2014,La Habana,Carta abierta,Carta abierta,Carta abierta,LGBTI,"DERECHOS LGBTI. Proyecto Arcoíris dirige carta a Esteban Lazo, presidente de la ANPP, para protestar por omisión de protección al VIH en el código del trabajo.",Estado cubano (Parlamento),Derechos LGBTI,La comunidad LGBTI no ha tenido respuestas inmediatas. Un mes después reclaman a la Fiscalía General y a la Asamblea Nacional que investiguen la omisión de una referencia contra la discriminación por identidad de género en el nuevo Código de Trabajo de la isla.,https://negracubanateniaqueser.com/2014/06/25/carta-del-proyecto-arcoiris-a-esteban-lazo-hernandez/ https://www.lainformacion.com/espana/activistas-cubanos-piden-investigar-omision-identidad-de-genero-en-nueva-ley_u014U161HYH7YjY9NIxm51/,NULL
